index,deck,category,subtheme,subthemeId,originalStatus,v018InternalStatus,reviewMethod,finding,externalHumanGateRequired
1,stance,Status & Authority,Command Presence,command-presence,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
2,stance,Status & Authority,Precarious Authority,precarious-authority,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
3,stance,Status & Authority,Professional Expertise,professional-expertise,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
4,stance,Status & Authority,Belonging & Legitimacy,belonging-legitimacy,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
5,stance,Status & Authority,Mentorship & Rank,mentorship-and-rank,red,live-validation-ready,targeted-semantic-consolidation,1 high-priority overlap cluster(s) addressed with stable-ID rewrites.,True
6,stance,Status & Authority,Hidden Leverage,hidden-leverage,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
7,stance,History & Relationship,Shared Origins,shared-origins,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
8,stance,History & Relationship,Debts & Favors,debts-and-favors,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
9,stance,History & Relationship,Familiar Roles,familiar-roles,green,live-validation-ready,carry-forward-green,No high-priority collision was identified in the v0.17 full-library audit.,True
10,stance,History & Relationship,Rivalry & Comparison,rivalry-comparison,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
11,stance,History & Relationship,Trust & Dependence,trust-dependence,amber,live-validation-ready,metadata-blind-and-pairability-pass,Ten-card metadata-blind review and sixty-pairing subtheme gauntlet completed internally; residual watch retained.,True
