index,deck,category,subtheme,status,interpretation
1,stance,Status & Authority,Command Presence,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
2,stance,Status & Authority,Precarious Authority,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
3,stance,Status & Authority,Professional Expertise,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
4,stance,Status & Authority,Belonging & Legitimacy,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
5,stance,Status & Authority,Mentorship & Rank,red,The family contains one or more cards with substantially the same playable mechanism and should receive targeted rewrites before publication.
6,stance,Status & Authority,Hidden Leverage,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
7,stance,History & Relationship,Shared Origins,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
8,stance,History & Relationship,Debts & Favors,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
9,stance,History & Relationship,Familiar Roles,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
10,stance,History & Relationship,Rivalry & Comparison,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
11,stance,History & Relationship,Trust & Dependence,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
12,stance,History & Relationship,Rupture & Unfinished Business,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
13,stance,Emotional Assumptions,Admiration & Envy,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
14,stance,Emotional Assumptions,Identity & Nostalgia,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
15,stance,Emotional Assumptions,Fear & Insecurity,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
16,stance,Emotional Assumptions,Care & Control,red,The family contains one or more cards with substantially the same playable mechanism and should receive targeted rewrites before publication.
17,stance,Emotional Assumptions,Approval & Belonging,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
18,stance,Emotional Assumptions,Pride & Validation,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
19,stance,Worldview & Absurdity,Ritual & Tradition,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
20,stance,Worldview & Absurdity,Crisis & Catastrophe,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
21,stance,Worldview & Absurdity,Celebration & Optimism,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
22,stance,Worldview & Absurdity,Practical Grounding,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
23,stance,Worldview & Absurdity,Fixation & Significance,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
24,stance,Worldview & Absurdity,Pattern & Grand Meaning,red,The family contains one or more cards with substantially the same playable mechanism and should receive targeted rewrites before publication.
25,drive,Direct Objectives,Secure Help,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
26,drive,Direct Objectives,Prevent Departure,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
27,drive,Direct Objectives,Obtain an Apology,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
28,drive,Direct Objectives,Gain Approval,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
29,drive,Direct Objectives,Transfer the Task,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
30,drive,Direct Objectives,Extract Information,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
31,drive,Direct Objectives,Recruit an Ally,red,The family contains one or more cards with substantially the same playable mechanism and should receive targeted rewrites before publication.
32,drive,Direct Objectives,Induce Risk,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
33,drive,Direct Objectives,Gain Recognition,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
34,drive,Direct Objectives,Force a Choice,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
35,drive,Direct Objectives,Test Loyalty,red,The family contains one or more cards with substantially the same playable mechanism and should receive targeted rewrites before publication.
36,drive,Direct Objectives,Obtain Surrender,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
37,drive,Secrets & Avoidance,Conceal Culpability,red,The family contains one or more cards with substantially the same playable mechanism and should receive targeted rewrites before publication.
38,drive,Secrets & Avoidance,Avoid the Subject,green,The ten cards share the intended subtheme but generally create distinguishable first moves and escalation paths.
39,drive,Secrets & Avoidance,Protective Deception,red,The family contains one or more cards with substantially the same playable mechanism and should receive targeted rewrites before publication.
40,drive,Secrets & Avoidance,Induce a Confession,red,The family contains one or more cards with substantially the same playable mechanism and should receive targeted rewrites before publication.
41,drive,Secrets & Avoidance,Reframe Failure,red,The family contains one or more cards with substantially the same playable mechanism and should receive targeted rewrites before publication.
42,drive,Secrets & Avoidance,Feign Competence,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
43,drive,Repeatable Behaviors,Competition Loop,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
44,drive,Repeatable Behaviors,Positive Reframing,amber,"The family is usable, but at least one broad umbrella card or close pair may feel repetitive in Random All play."
