id,packId,type,categoryId,subthemeId,revisionKind,overlapCluster,oldContentVersion,newContentVersion,oldTitle,newTitle,oldInstruction,newInstruction,rationale,stableIdPreserved
D60,power-games,drive,direct-objectives,obtain-surrender,semantic-consolidation,19,0.10.0,0.18.0,Yield Control,Pass Me the Authority,"Make someone surrender control of a decision, resource, or symbol of authority.",Get someone to transfer authority publicly by naming you as the person who decides what happens next.,"Requires a visible transfer of legitimacy instead of another surrender of a task, object, or decision.",True
D127,secrets-schemes,drive,direct-objectives,recruit-ally,semantic-consolidation,15,0.13.0,0.18.0,Join the Inner Circle,Back My Version,"Recruit someone into a hidden plan by offering trust, purpose, and just enough privileged information.","Recruit someone to remember, repeat, and defend one shared version of events when questions begin.",Recruits a specific witness and story-keeping function rather than another general partner in a secret plan.,True
D133,secrets-schemes,drive,secrets-avoidance,conceal-culpability,semantic-consolidation,16,0.13.0,0.18.0,The Helpful Suspect,Steer the Suspicion,Hide your role in creating the problem while eagerly organizing the investigation.,Hide your responsibility by redirecting every new clue toward a safer explanation before anyone can connect it back to you.,Turns culpability into active evidence control rather than enthusiastic participation in the investigation.,True
D136,secrets-schemes,drive,secrets-avoidance,induce-confession,semantic-consolidation,17,0.13.0,0.18.0,Confess Before I Do,Tell Me Why,"Maneuver someone into admitting their secret, motive, or mistake before you reveal your own.",Get someone to reveal the motive behind a choice by offering small pieces of your own truth as bait.,Seeks motive through reciprocal partial disclosure instead of simply forcing the other person to confess first.,True
D155,absurd-commitment,drive,direct-objectives,test-loyalty,semantic-consolidation,21,0.14.0,0.18.0,Prove You Accept the Premise,Act as If It’s True,Create an increasingly inconvenient test of whether someone will act as though the impossible premise is true.,Ask for one concrete choice that would only make sense if the impossible premise were true.,Tests belief through one meaningful consequence rather than escalating inconvenience as proof of obedience.,True
D159,absurd-commitment,drive,secrets-avoidance,protective-deception,semantic-consolidation,22,0.14.0,0.18.0,A Kinder Impossible Truth,Keep Hope Operational,Protect someone from a harsher explanation by maintaining a more hopeful and impossible version of events.,Protect their hope with practical evidence and next steps while quietly withholding what makes the impossible outcome unlikely.,Sustains hope through practical action and selective evidence rather than offering another kinder version of the truth.,True
D161,absurd-commitment,drive,secrets-avoidance,reframe-failure,semantic-consolidation,23,0.14.0,0.18.0,That Was Phase One,Failure Reveals the Mission,Treat every failed attempt as a necessary stage that proves the impossible plan is advancing.,"Use each failed step to reveal a different goal the plan was secretly pursuing, then act immediately on that new mission.",Makes failure change the active goal instead of claiming every failure was merely the next planned phase.,True
D170,rules-rituals-institutions,drive,direct-objectives,prevent-departure,semantic-consolidation,20,0.15.0,0.18.0,You Haven’t Been Dismissed,Close It Properly,"Keep someone present by insisting that one final step, acknowledgment, or ceremony must happen before anyone may leave.","Keep them present until both of you complete the ritual that formally ends this role, meeting, or relationship.",Pursues mutual completion of a transition instead of treating departure as permission the holder controls.,True
D177,rules-rituals-institutions,drive,direct-objectives,gain-recognition,title-generalization,,0.15.0,0.18.0,Credit in the Minutes,Record My Contribution,"Get your contribution formally recognized, recorded, or repeated where it cannot be quietly forgotten.","Get your contribution formally recognized, recorded, or repeated where it cannot be quietly forgotten.",Removes the formal-meeting implication of minutes while preserving durable acknowledgment of contribution.,True
D179,rules-rituals-institutions,drive,direct-objectives,test-loyalty,semantic-consolidation,21,0.15.0,0.18.0,Follow the Custom,Interpret the Custom,"Create increasingly inconvenient formalities to test whether someone respects the group, relationship, or institution.",Ask them to apply an ambiguous custom where the wording is unclear. Treat their interpretation as the real test of loyalty.,Tests interpretive values and respect for a custom rather than adding increasingly inconvenient formalities.,True
D211,competition-consequences,drive,repeatable-behaviors,competition-loop,semantic-consolidation,18,0.16.0,0.18.0,Turn It into a Tiebreaker,No Tie Stands,"Turn every disagreement into another round designed to settle who is better, right, or more committed.",Turn every even outcome into a formal rematch with a new rule and a consequence for losing.,Creates a recurring rematch protocol around ties rather than turning every disagreement into a generic contest.,True
D218,advanced-scene-engines,drive,direct-objectives,prevent-departure,semantic-consolidation,14,0.17.0,0.18.0,One More Unresolved Reason,Reopen the First Reason,Keep them present by introducing a new unresolved reason whenever the previous reason is answered.,Keep them present by returning to the first reason for staying and revealing that it now means something different.,Recontextualizes an earlier reason instead of continually inventing one more reason to stay.,True
S53,power-games,stance,status-authority,mentorship-rank,semantic-consolidation,1,0.10.0,0.18.0,I Made You Ready,The Crown Must Pass,"Treat another person’s competence as evidence of your teaching, influence, and continuing seniority.","Treat another person as your likely successor. Prepare them to lead, then reclaim authority whenever their independence makes your influence feel temporary.",Reframes mentorship as ambivalence about succession rather than claiming credit for another person’s competence.,True
S77,relationship-knots,stance,status-authority,mentorship-rank,semantic-consolidation,8,0.11.0,0.18.0,Older in This Relationship,Keeper of Precedent,"Treat your longer memory of the relationship as seniority, correcting how its history should be understood.","Treat your longer memory as an archive, not a throne. Cite specific promises and precedents whenever the relationship faces a new choice.",Uses specific precedent as guidance instead of claiming superior authority to interpret the entire relationship.,True
S83,relationship-knots,stance,history-relationship,trust-dependence,semantic-consolidation,3,0.11.0,0.18.0,My First Call,Old Reflex,"Turn to this connection first whenever uncertainty appears, then minimize how much that instinct reveals about your dependence.","Turn to this person first whenever uncertainty appears, as an old reflex. Notice the habit only after you have already involved them.",Centers involuntary relationship habit rather than exclusive trust and concealed dependence.,True
S108,emotional-pressure,stance,history-relationship,rupture-unfinished-business,semantic-consolidation,4,0.12.0,0.18.0,The Feeling Never Left,Careful Around the Scar,"Treat an old hurt as emotionally current, responding to new offers as though part of that moment is happening again.","Treat one harmless detail as the trigger for an old hurt. Become overly careful, helpful, or controlled whenever it returns.",Adds a concrete recurring trigger and coping pattern instead of keeping all old hurt generically current.,True
S130,secrets-schemes,stance,history-relationship,rivalry-comparison,title-generalization,,0.13.0,0.18.0,Competing Detectives,First to Solve It,Treat each clue and inconsistency as a contest over who can understand the situation first and most completely.,Treat each clue and inconsistency as a contest over who can understand the situation first and most completely.,Removes the fixed detective image while preserving the competition to understand the situation first.,True
S144,secrets-schemes,stance,worldview-absurdity,pattern-grand-meaning,semantic-consolidation,6,0.13.0,0.18.0,Everything Connects,Competing Theories,"Treat every interruption, coincidence, and denial as part of one expanding hidden design, and doubt as further evidence.","Create several explanations for what is happening. Test each new clue against them, and switch allegiance whenever one theory gains strength.",Replaces one unquestionable grand design with active comparison among rival explanations.,True
S161,absurd-commitment,stance,emotional-assumptions,approval-belonging,semantic-consolidation,10,0.14.0,0.18.0,I Get the Joke,Half a Beat Late,"Act as though immediate acceptance of every strange development is the price of belonging, even when you are visibly struggling.","Use the group’s reactions as your cue, joining each one a moment late and escalating your enthusiasm to stay included.",Creates a social-timing pattern instead of another attempt to prove belonging by accepting the bizarre premise.,True
S172,rules-rituals-institutions,stance,status-authority,belonging-legitimacy,semantic-consolidation,7,0.15.0,0.18.0,Knows the Customs,Customs Interpreter,Behave as though effortless knowledge of the unwritten rules proves you belong. Follow them conspicuously and conceal every moment of uncertainty.,"Act as the translator of unwritten customs. Correct breaches, explain exceptions, and make your usefulness proof that you belong.",Establishes belonging through useful interpretation rather than another performance of insider familiarity.,True
S179,rules-rituals-institutions,stance,history-relationship,trust-dependence,semantic-consolidation,12,0.15.0,0.18.0,I Need Your Access,My Sponsor Inside,Use someone’s guidance to navigate the system while resisting every sign that their help gives them influence over you.,Treat one person as your sponsor inside the system. Seek their introductions and approval while resisting the identity their support assigns you.,Centers sponsorship and identity costs instead of relying on another person to explain how the system works.,True
S202,competition-consequences,stance,history-relationship,rivalry-comparison,semantic-consolidation,2,0.16.0,0.18.0,Permanent Scoreboard,Debts on the Scoreboard,"Treat every offer, memory, and achievement as another point in a rivalry that has never truly ended.","Treat past wins and losses as debts. Let each new result change who owes the next favor, risk, or concession.",Makes remembered scores alter present obligations instead of merely repeating a general rivalry.,True
