cluster,subtheme,originalCards,anchorCardIds,revisedCardIds,originalConcern,postRevisionDistinction,status,liveValidationRequired
1,Mentorship & Rank,S05; S53,S05,S53,Both claim another performer’s competence as proof of the holder’s teaching and continuing seniority.,Reframes mentorship as ambivalence about succession rather than claiming credit for another person’s competence.,resolved-internal,True
2,Rivalry & Comparison,S10; S202,S10,S202,Both turn nearly every event into points on an ongoing rivalry scoreboard.,Makes remembered scores alter present obligations instead of merely repeating a general rivalry.,resolved-internal,True
3,Trust & Dependence,S11; S83,S11,S83,Both make one person the holder’s primary trusted resource while concealing dependence.,Centers involuntary relationship habit rather than exclusive trust and concealed dependence.,resolved-internal,True
4,Rupture & Unfinished Business,S12; S108,S12,S108,Both keep an old hurt emotionally present and filter current offers through it.,Adds a concrete recurring trigger and coping pattern instead of keeping all old hurt generically current.,resolved-internal,True
5,Care & Control,S16; S208,S16,S208,Both control another person’s choices while framing that control as protection from consequences.,Shifts from protective paternalism to unequal exposure to consequences and a demand for shared consent.,resolved-internal,True
6,Pattern & Grand Meaning,S24; S144,S24,S144,"Both interpret coincidences, interruptions, and doubt as evidence of one larger hidden design.",Replaces one unquestionable grand design with active comparison among rival explanations.,resolved-internal,True
7,Belonging & Legitimacy,S28; S172,S28,S172,Both perform insider status through routines or unwritten rules while hiding uncertainty.,Establishes belonging through useful interpretation rather than another performance of insider familiarity.,resolved-internal,True
8,Command Presence,S73; S77,S73,S77,Both claim superior authority to interpret a relationship because of emotional seniority or longer memory.,Uses specific precedent as guidance instead of claiming superior authority to interpret the entire relationship.,resolved-internal,True
9,Precarious Authority,S122; S218,S122,S218,Both project control while fearing that one question or recurring detail will expose how little authority they possess.,Makes the recurring detail actively reverse authority rather than simply expose a bluff.,resolved-internal,True
10,Belonging & Legitimacy,S148; S161,S148,S161,Both overaccept bizarre developments to prove belonging while concealing confusion.,Creates a social-timing pattern instead of another attempt to prove belonging by accepting the bizarre premise.,resolved-internal,True
11,Pattern & Grand Meaning,S168; S240,S168,S240,"Both treat repeated words, shapes, or actions as rhyming evidence of one grand pattern.",Uses callbacks to track evolving relationship meaning rather than building another cosmic pattern.,resolved-internal,True
12,Trust & Dependence,S35; S179,S35,S179,Both rely on another person’s system knowledge or access while resisting the influence created by that dependence.,Centers sponsorship and identity costs instead of relying on another person to explain how the system works.,resolved-internal,True
13,Trust & Dependence,S59; S203,S59,S203,Both need a rival’s judgment or presence in order to sharpen performance while denying the dependence.,Makes the feared end of the rivalry the engine rather than dependence on the rival’s judgment.,resolved-internal,True
14,Prevent Departure,D26; D218,D26,D218,Both prevent departure by producing one more unresolved reason whenever the previous reason ends.,Recontextualizes an earlier reason instead of continually inventing one more reason to stay.,resolved-internal,True
15,Recruit an Ally,D07; D127,D07,D127,Both recruit someone into a secret plan; the latter mainly adds exclusivity and partial information.,Recruits a specific witness and story-keeping function rather than another general partner in a secret plan.,resolved-internal,True
16,Conceal Culpability,D13; D133,D13,D133,Both hide responsibility for causing the problem while eagerly organizing its investigation.,Turns culpability into active evidence control rather than enthusiastic participation in the investigation.,resolved-internal,True
17,Induce a Confession,D16; D136,D16,D136,Both maneuver another person into confessing before the holder reveals anything.,Seeks motive through reciprocal partial disclosure instead of simply forcing the other person to confess first.,resolved-internal,True
18,Competition Loop,D19; D211,D19,D211,Both turn every disagreement into another competition meant to settle who is better or right.,Creates a recurring rematch protocol around ties rather than turning every disagreement into a generic contest.,resolved-internal,True
19,Obtain Surrender,D36; D60,D36,D60,"Both make another person surrender control of a task, decision, resource, or authority symbol.","Requires a visible transfer of legitimacy instead of another surrender of a task, object, or decision.",resolved-internal,True
20,Prevent Departure,D50; D170,D50,D170,Both keep someone present by treating departure as something that requires the holder’s permission or completion of a final formality.,Pursues mutual completion of a transition instead of treating departure as permission the holder controls.,resolved-internal,True
21,Test Loyalty,D59; D155; D179,D59,D155; D179,"All use increasingly inconvenient demands or formalities as tests of obedience, belief, or respect.",Tests belief through one meaningful consequence rather than escalating inconvenience as proof of obedience. Tests interpretive values and respect for a custom rather than adding increasingly inconvenient formalities.,resolved-internal,True
22,Protective Deception,D135; D159,D135,D159,"Both protect someone with a kinder, edited version of a harsher truth; the impossible framing is mostly cosmetic.",Sustains hope through practical action and selective evidence rather than offering another kinder version of the truth.,resolved-internal,True
23,Reframe Failure,D137; D161,D137,D161,Both treat every failure as a necessary phase proving that the plan is proceeding exactly as intended.,Makes failure change the active goal instead of claiming every failure was merely the next planned phase.,resolved-internal,True
