cluster,severity,subtheme,cards,reason,recommended_action
1,high,Mentorship & Rank,S05 — The Protégé Problem | S53 — I Made You Ready,Both claim another performer’s competence as proof of the holder’s teaching and continuing seniority.,"Keep S05 as the broad Core engine; rewrite S53 around succession, independence, or loss of influence."
2,high,Rivalry & Comparison,S10 — Old Rivals | S202 — Permanent Scoreboard,Both turn nearly every event into points on an ongoing rivalry scoreboard.,Keep S10; give S202 a consequence or rule for how the remembered score changes present choices.
3,high,Trust & Dependence,S11 — Only You | S83 — My First Call,Both make one person the holder’s primary trusted resource while concealing dependence.,Keep S11; rewrite S83 around reflexive first contact or habit without repeating the trust/dependence engine.
4,high,Rupture & Unfinished Business,S12 — After What Happened | S108 — The Feeling Never Left,Both keep an old hurt emotionally present and filter current offers through it.,"Keep S12; make S108 use a distinct trigger, coping behavior, or attempted repair pattern."
5,high,Care & Control,S16 — For Their Own Good | S208 — I Decide What You Can Risk,Both control another person’s choices while framing that control as protection from consequences.,"Keep S16; rewrite S208 around unequal risk, consent to risk, or who bears consequences."
6,high,Pattern & Grand Meaning,S24 — The Grand Design | S144 — Everything Connects,"Both interpret coincidences, interruptions, and doubt as evidence of one larger hidden design.",Keep S24; rewrite S144 around testing competing explanations or managing information rather than broad pattern certainty.
7,high,Belonging & Legitimacy,S28 — Regular Around Here | S172 — Knows the Customs,Both perform insider status through routines or unwritten rules while hiding uncertainty.,Keep S28; rewrite S172 so the holder enforces or translates customs rather than pretending familiarity.
8,high,Command Presence,S73 — Emotional Seniority | S77 — Older in This Relationship,Both claim superior authority to interpret a relationship because of emotional seniority or longer memory.,"Keep S73; rewrite S77 around archival memory, precedent, or generational rank without claiming the same interpretive authority."
9,high,Precarious Authority,S122 — Authority by Bluff | S218 — One Detail Could Undo Me,Both project control while fearing that one question or recurring detail will expose how little authority they possess.,Keep S122; make S218 about a detail that reverses status or changes meaning rather than merely exposing a bluff.
10,high,Belonging & Legitimacy,S148 — Obviously One of Us | S161 — I Get the Joke,Both overaccept bizarre developments to prove belonging while concealing confusion.,"Keep S148; rewrite S161 around social timing, shared humor, or joining a pattern rather than generic belonging-through-acceptance."
11,high,Pattern & Grand Meaning,S168 — The Universe Is Rhyming | S240 — Everything Rhymes Eventually,"Both treat repeated words, shapes, or actions as rhyming evidence of one grand pattern.","Keep S168; rewrite S240 around callbacks changing consequence or relationship meaning, not another cosmic pattern."
12,high,Trust & Dependence,S35 — You Know the System | S179 — I Need Your Access,Both rely on another person’s system knowledge or access while resisting the influence created by that dependence.,"Keep S35; rewrite S179 around gatekeeping, sponsorship, or permission rather than navigational dependence."
13,high,Trust & Dependence,S59 — Indispensable Rival | S203 — The Rival I Need,Both need a rival’s judgment or presence in order to sharpen performance while denying the dependence.,"Keep S59; rewrite S203 around mutual escalation, identity, or fear of winning without the rival."
14,high,Prevent Departure,D26 — One Last Thing | D218 — One More Unresolved Reason,Both prevent departure by producing one more unresolved reason whenever the previous reason ends.,Keep D26; make D218 reopen an earlier reason with changed meaning rather than simply adding another.
15,high,Recruit an Ally,D07 — Join Me | D127 — Join the Inner Circle,Both recruit someone into a secret plan; the latter mainly adds exclusivity and partial information.,"Keep D07; rewrite D127 around recruiting a specific function such as witness, decoy, gatekeeper, or keeper of the secret."
16,high,Conceal Culpability,D13 — Helpful Culprit | D133 — The Helpful Suspect,Both hide responsibility for causing the problem while eagerly organizing its investigation.,"Keep D13; rewrite D133 around steering suspicion, controlling evidence, or protecting a second culprit."
17,high,Induce a Confession,D16 — Confess First | D136 — Confess Before I Do,Both maneuver another person into confessing before the holder reveals anything.,"Keep D16; rewrite D136 around eliciting motive, exchanging partial admissions, or confirming a theory."
18,high,Competition Loop,D19 — Everything Is a Contest | D211 — Turn It into a Tiebreaker,Both turn every disagreement into another competition meant to settle who is better or right.,"Keep D19; rewrite D211 around formal rematches, score rules, or consequences of a tie."
19,high,Obtain Surrender,D36 — Hand It Over | D60 — Yield Control,"Both make another person surrender control of a task, decision, resource, or authority symbol.","Keep D36; rewrite D60 around a public transfer of legitimacy, delegation, or ceremonial yielding."
20,high,Prevent Departure,D50 — Not Dismissed | D170 — You Haven’t Been Dismissed,Both keep someone present by treating departure as something that requires the holder’s permission or completion of a final formality.,Keep D50; rewrite D170 around jointly completing a ritual or acknowledging a transition rather than permission to leave.
21,high,Test Loyalty,D59 — Obey Without Explanation | D155 — Prove You Accept the Premise | D179 — Follow the Custom,"All use increasingly inconvenient demands or formalities as tests of obedience, belief, or respect.",Keep D59; redesign D155 and D179 so one tests enacted belief and the other tests interpretive respect without repeating escalating inconvenience.
22,high,Protective Deception,D135 — A Kinder Version | D159 — A Kinder Impossible Truth,"Both protect someone with a kinder, edited version of a harsher truth; the impossible framing is mostly cosmetic.",Keep D135; rewrite D159 around sustaining impossible hope through practical actions or evidence rather than another kinder lie.
23,high,Reframe Failure,D137 — Exactly as Planned | D161 — That Was Phase One,Both treat every failure as a necessary phase proving that the plan is proceeding exactly as intended.,"Keep D137; rewrite D161 so failure changes the goal, reveals a new rule, or creates a distinct next phase."
