cardId,exampleId,wordsBefore,wordsAfter,beforeHash,afterHash,rationale,reviewType,independentReview,liveTested
D01,D01-single-a,33,36,361a0a3041cb52e99d1d6f1c5b2c95fa118734bae0b8453b493647ef8cc9848c,417a2e6586fe584fed71c63bca25010559e3be1dede27016c1624f783549ae81,A engineers an explicit request for help instead of helping immediately; B's independence changes A's tactic.,internal-editorial-rewrite,False,False
D01,D01-single-b,35,33,163c78079432a1f0f3be4274d78ab30aa1060d1b993a13d11b5da289a0f9a3b5,8ad07d4c40fece95dc502c0cdf3aceaed011b243759ea72f7872335145f30b4e,A engineers an explicit request for help instead of helping immediately; B's independence changes A's tactic.,internal-editorial-rewrite,False,False
D02,D02-single-a,39,34,2426e69715929eef8cca4d68f7510df32c68faeba41ac91efa58a8e70337c17a,c297150551afc5df51c39788981f7217b5bb7a73e1bc440cc0e8cf0f10afe071,Each practical pretext keeps B in the interaction; A never directly asks B to stay.,internal-editorial-rewrite,False,False
D02,D02-single-b,30,39,4c92a3eb4942cab3a5e434c9a1c272c689c35a514b1910bc6af10ae48e0eb38a,dc77c0850c91009fab4a9b69644bed59eb486c3eb8df1d1d916ec1efbfadbc1f,Each practical pretext keeps B in the interaction; A never directly asks B to stay.,internal-editorial-rewrite,False,False
D03,D03-single-a,31,35,4aee315c79384a0a8aba508de06eabc1744ffad0be85e11e7c613158606f9a32,0b44411729718360b1e9ba07b068992b6864530f8732783e1582d4c2c02efcf4,A seeks an apology through indirect cues without revealing the precise offense.,internal-editorial-rewrite,False,False
D03,D03-single-b,31,30,de9dc5d1793ef11e66781f7166513de515fc0b740dae2af575922a9a49c66d05,33c5bce65c2bbbd2bd3d0c2630a675d4c01083b0e0b6625361386dd39b8794b7,A seeks an apology through indirect cues without revealing the precise offense.,internal-editorial-rewrite,False,False
D04,D04-single-a,35,32,5dd44efc6b5b0998418cea7a7ae259b353905bd47e20d2e36ea192c3783370d6,a6f82bb5f420038239101d1ce4761d5d0ff542ac918030b3e614199db4c3102f,A asks for approval before revealing that the decision is already irreversible.,internal-editorial-rewrite,False,False
D04,D04-single-b,36,34,fa9b0998e8a5caf3a4681058ef6a40319a1bf24df0f3cf082bd85921a6bd6c77,9fdf689e0dedaecdd369744f9efb4017df1756f13cc840ce4f969ef1605b41cb,A asks for approval before revealing that the decision is already irreversible.,internal-editorial-rewrite,False,False
D05,D05-single-a,38,40,74873155f664186d807093239b75321acf4101b193fb2b9646104eedbcc41582,2ad00a1386b073af8894bf02859f2191326c15e500569b8aed164c7df2e8104b,"A makes the unwanted task sound like B's own natural choice, rather than merely assigning it.",internal-editorial-rewrite,False,False
D05,D05-single-b,34,34,1d8562c0f3bfdf332288fbf3e2be375b6f9237e95284747ae56de68414d085a5,514e75a4d758f0682ad074c1d3ab0fc96449161941a609d749399d490d1b1363,"A makes the unwanted task sound like B's own natural choice, rather than merely assigning it.",internal-editorial-rewrite,False,False
