# ID|action 1|spoken request 1|action 2|spoken request 2
D01|I set my toolbox just beyond the broken hinge.|say you need my help, and I'll open the toolbox.|I leave space beside my name on the repair sheet.|tell me which part you can't do without me.
D02|I balance a wobbly tray near the doorway.|hold this for a second; I can't find its other leg.|I offer a second unopened envelope.|read this one before you put your coat on.
D03|I place the dented cup between us in silence.|is there anything you'd like to say before we use this again?|I begin a note with 'I am...' and pass it across.|finish that sentence however your conscience suggests.
D04|I hold out the receipt without showing the total.|say the new sign is approved; it's already hanging outside.|I stand in front of a freshly painted door.|agree that yellow was the right choice before you look behind me.
D05|I display a new label on the rubbish bag.|who wants the prestigious role of final quality inspection outside?|I polish the only handle on the cleaning cart.|volunteer for the job with your very own set of wheels.
D06|I mention only the first letter on the envelope.|which version of yesterday's story have you heard?|I open a blank page as though checking old notes.|start from the bit you know, and I'll fill in only what's necessary.
D07|I slide half a secret map across the table.|meet me at the back gate; I'll explain the other half there.|I leave a folded invitation beneath a cup.|take this as an invitation to something we won't announce yet.
D08|I point to the 'do not open' label.|try the handle first; I'll watch what happens.|I keep my own pen capped above the forbidden line.|cross that line on your form before I cross mine.
D09|I point to my small name at the bottom.|say who actually solved the problem before we move on.|I place my tool beside the completed repair.|introduce me as the person who made this work.
D10|I move my invitation beside the competing one.|pick my evening, not the one you've nearly agreed to.|I bring my chair level with the alternative seat.|choose this seat beside me for once.
D11|I put two differently coloured cups out.|which cup would you choose if nobody were scoring your answer?|I leave an inconvenient note by the door.|keep this tiny favour between us, just to see how that feels.
D12|I hold open a small empty box.|put the medal in here; let it be mine for this part.|I offer a receipt for an object I'm not holding yet.|hand over the key without needing to keep a spare.
D13|I hide my glue-stained thumb behind a clipboard.|let me investigate the broken vase, starting far away from the glue.|I cover my muddy footprint with the evidence tray.|check the windows first; I'm sure the culprit came from outside.
D14|I turn the damaged photograph facedown.|before we discuss the photograph, have we ordered lunch?|I pick up a spoon beside the incriminating note.|forget that note for a moment; who polished these spoons?
D15|I cover the rejection letter with a cheerful postcard.|there's no news you need to worry about today.|I fold the broken invitation into my pocket.|the change of plans is only about the weather, honestly.
D16|I keep my own signed note folded shut.|tell me what you did first; then I'll open my envelope.|I draw two confession columns and leave mine blank.|start with your mistake so I know how honest we're being.
D17|I place a bucket beneath a drawing of a roofless room.|a missing roof saves a fortune on ventilation.|I label the least safe route 'efficient'.|approve this shortcut; risk is just unused efficiency.
D18|I adjust an unfamiliar dial with enormous confidence.|that hum means it's calibrating; I prefer not to interrupt it.|I inspect the underside of the instruction manual.|the upside-down test is standard in advanced work.
D19|I put a timer beside the disagreement.|let's settle this by seeing who finishes first.|I move two cups to an imaginary starting line.|pick a side; even pouring tea can establish a winner.
D20|I smile at an empty cupboard.|perfect, now we know exactly how much room we've got.|I hold up the broken handle like a prize.|wonderful, one less thing that can stick tomorrow.
D21|I smooth a crumpled napkin with rigid fingers.|lovely choice; I'll happily fix the extra mess myself.|I offer another cup through a tight smile.|take your time; my entire afternoon is yours, apparently.
D22|I write a price beside a friendly favour.|I'll lend the ladder for two future lifts home.|I add a signature line to a verbal apology.|your apology is accepted once we agree what it includes.
D23|I tick 'attend' but leave 'help' blank.|yes, I'll be there; I never agreed to carry anything.|I underline one convenient word in our agreement.|absolutely, I'll help with the first box; the rest weren't specified.
D24|I connect two tiny stains on a map.|one spill is clumsy; two reveal a whole operation.|I add a squeaking chair to a growing diagram.|hear that squeak? Even the furniture is part of this.
D25|I offer a single loose screw, then the whole bracket.|could you just hold this, then tighten it, then finish the shelf?|I set one envelope on top of a large unsorted pile.|start with this tiny letter; the rest use the same easy process.
D26|I stop packing after spotting another cup.|before you go, there's just this one cup to rinse.|I reach for the last bag as a coat goes on.|wait, this knot needs a second pair of hands.
D27|I peel a wet sock off very slowly.|the puddle you left has had quite an afternoon with my foot.|I put the ruined timetable beside my untouched dinner.|three missed buses; perhaps there's a word for what I deserve.
D28|I cover the small print with my thumb.|just say yes to the first line; we'll discuss the rest later.|I hold a stamp above the request.|a quick nod is enough before you read the expensive part.
D29|I put the cleaning rota beside the mop.|your name has been beside this task since Monday.|I turn the last four completed chores toward you.|I've done my turns; this bucket is yours now.
D30|I examine an empty calendar as though checking it.|remind me which time we settled on, just for the record.|I hold two conflicting lists.|which list did we agree was the final plan?
D31|I put my version of the rota next to yours.|back me up when I say the bins were never my turn.|I offer a copy of the household note.|tell them you remember the arrangement the way I do.
D32|I hand over the questionable replacement part.|try the cheaper fitting first; I'll stand well back.|I keep my own cup away from the experimental tap.|taste the water after the repair before I fill mine.
D33|I spread the shopping receipts across the table.|count the trips on these before calling this a small favour.|I line up the bags by the stairs.|notice how many flights I carried every one of these up.
