# ID|action 1|line frame 1|action 2|line frame 2|standalone request (inserted in both frames)
S01|I raise a finger before anyone speaks.|You may begin when I lower this finger. {ask}|I take the chair at the head of the table.|I'll decide when we're finished. {ask}|bring the blue folder to me for approval.
S02|I straighten my badge, then offer my chair.|I'd like this to remain voluntary. {ask} Please.|I uncross my arms and set out another cup.|I'm still in charge, provided we're all happy. {ask}|back me up when I announce the new schedule.
S03|I turn the instructions right side up.|Let's try this the trained way. {ask}|I put on gloves to handle a single paperclip.|I can explain the standard again. {ask}|use the labelled tray instead of the floor.
S04|I copy the hand gesture a beat late.|Naturally. The usual arrangement. {ask}|I turn my form over when you turn yours.|Exactly how we always do it. {ask}|point to where the experienced people sign.
S05|I correct the angle of the pen I offered.|Better. That's almost how I taught you. {ask}|I set my old instruction sheet beside yours.|You've come so far since my first lesson. {ask}|let me check your opening sentence before you read it.
S06|I quietly move the only key into my pocket.|No need to put me in charge. {ask}|I leave the approval box blank and smile.|I'm merely helping. {ask} Then I'll sign.|pass the final version by me before sending it.
S07|I brush imaginary crumbs from your grand chair.|Still the same old seat-stealer. {ask}|I address the gold nameplate instead of your face.|Fancy plate, same person who ate my sandwiches. {ask}|let me call you by the old nickname today.
S08|I place my faded receipt beside your new certificate.|My bus fare got you to that first interview. {ask}|I straighten the certificate I once paid to frame.|We both know whose shoulders got you here. {ask}|leave a little room for my name in your thank-you speech.
S09|I collect the abandoned cups while still talking.|Already taken care of, apparently by me again. {ask}|I put down a spare key and a packed lunch.|I remembered for both of us. {ask}|tell me which of these jobs you'll remember tomorrow.
S10|I measure my pile against yours with a ruler.|Mine's taller by three millimetres. {ask}|I add a tally beside my name.|That's one to me. {ask}|show me how fast you can fold the next towel.
S11|I draw my chair close to yours, away from the others.|I'm asking you, not the room. {ask}|I pass you my notes folded into a tiny square.|I could do this alone. Just read these first. {ask}|tell me whether the door is safe to open.
S12|I stop with my hand above an ordinary teacup.|That cup. After last time, really? {ask}|I leave one empty place untouched.|Let's not pretend this is just another dinner. {ask}|explain why you put that particular cup out again.
S13|I copy your relaxed pose too carefully.|That looks effortless on you. Mine takes discipline. {ask}|I applaud, then demonstrate the same flourish.|Beautiful. I've made one tiny improvement. {ask}|watch my version before deciding which was better.
S14|I dust off my old stage jacket.|The sleeves still fit the person I am. {ask}|I sign with the nickname I used twenty years ago.|I haven't retired that name. {ask}|introduce me with the nickname on this jacket.
S15|I move a new nameplate away from my desk.|Just making room for the person who already works here. {ask}|I pin up a list of jobs only I remember.|Replacing me would mean replacing all of this. {ask}|let me handle the keys for another week.
S16|I slide the sharper scissors out of reach.|I'll choose the safe option for both of us. {ask}|I cover two choices on the menu with my hand.|I'm protecting you from an expensive mistake. {ask}|choose the option I left uncovered.
S17|I adjust my collar while watching your face.|Not that it matters to me. {ask}|I change the seating plan after glancing at you.|Better? Purely a practical question. {ask}|say whether the blue shirt makes the right impression.
S18|I leave my finished puzzle directly under the lamp.|Oh, that? Only took me all night. {ask}|I pause beside my trophy with a polishing cloth.|Don't let me interrupt your appreciation. {ask}|take a closer look at the piece nobody else could solve.
S19|I turn the teaspoon exactly three times.|We finish the third turn before speaking. {ask}|I place a napkin beneath the ceremonial biscuit.|The biscuit never touches bare wood. {ask}|hold the plate level while I complete the final turn.
S20|I mark an exit route around one spilled drop.|This is how the big disasters start. {ask}|I pack a torch after hearing a chair squeak.|We may have seconds, not minutes. {ask}|help me move the cups away from the danger zone.
